Wallet,Fate_Rewards
0x4ec1cae08c06494ee0130d4d538c1735252d4130,18060452.012456673397468164
0x4eeb0f5aad6349f3c587fba1176ba164b95ea8bf,1221086.785787646548350218
0x54b8962b6f5028a57bc11cb68cad87aa8651c548,107918.003899238552711915
0x5589e5e0a3c9dec765c56f942ffe8d663dbfbd4b,5205.87356678478617466
0x585869bdd43497df24a8cec2e1d4e115869fe2a3,1917051.329383411261686857
0x5896bed3959d4508fee5cdaed6da41e8016d1ebe,780.153244425169222435
0x59734040d997a97cf329f28d7f289286ab444b27,2530580.837723557036524346
0x5c976f29f024a506e623db5bd9c26b6a0c9f2619,1447.277529378068588995
0x5da9ba5435f2f3bd8d25abce434caa370cfff2c0,5067.647939728969765275
0x5db0c41cac8a92ccdae933e7dc7b6266415fa17c,80418.463403038522710097
0x5edd60b9c610050c66bac1a2d0572bddf61d7198,78022.090427619833517815
0x60f7244c704184ed3743dffc694c0d922bcc2093,3712.5553320902834305
0x636f69a3279d93c95d13093680fc02b9a2fcf774,37500.510243237028631372
0x638f3811e402f5ce2f15b19a3f5cd4fbb65d0932,68685.389555640148002856
0x64878dab06c60cbe866e959081d2da4c287e9705,135484.967650117406086006
0x64c73ba421277f362882387472e1e884d8999056,106506.74707919693889183
0x64cf2cdbf9cb4381a69d601e61d158dd8631e0fd,27921.003789486168410957
0x655552b438d13027bd46dee323f301b37ab56c36,0.0
0x6610e09ff914e115814fd6856de77ea28d05982d,35974.276909723718019588
0x6918d86f6532f8030cc0b02e2f385fafe98e9c28,6004.017145770992788884
0x693bfeeff05a9e7f38476cfcce473ae436e0e851,6070561.343589413878124517
0x695e12e59c9c3993c7eb8a48710421b12f364135,262071.947835167164758518
0x6a099ded0eaf0b22dde687d83cb19af0c6eea084,3273103.347770806362228598
0x707acec1f566eb3bf16fb0468e6e2e9a881813a3,89296.528500981169132823
0x70801880e4b7b36d6e4797dac8a5b8f5da471962,845055.313747286754697292
0x71a9418220bea6e96f19713975527cc27cc1375d,105979.277954519346601022
0x7719bff1fe196b803a16ffb4dc250cb0fe20a313,105484.565441441691816873
0x79d860858361577a4f2a33d83aac2299b6d77025,517529.037914130247413448
0x7a0373a8789562dd3923d3c212e249e5e88723cf,43589.884038233959285265
0x7a120d3150530a1cb538711ef04623aa8d90ff4e,9674.665762935901040832
0x7a68f7ce454d8fbc53d5dfb5d61d9a9d3bab0cdd,4054.304173094596549908
