Wallet,Fate_Rewards
0x21ef9e80e000122d120357eb430190e541ef60d4,28256.544976564483952543
0x22668bc75dec80ce8ca07d1dd58eb796a3a5f72d,333056.393455277014547959
0x2402d9a9435df4d27eb6e8b226e5fcf8765d3e2a,386.483296074543201423
0x25d53e1fe43e686cc669fb4e992891e63588434c,147662.445041242659490882
0x26183c45a99bdbaa102cc55e359a72d5b17c9dcd,1777810.816619001070792797
0x27bd3c8945eadcae11c662aa939bd72fa757c958,86870.818418555531534334
0x27fae2cf9ed3754182923460988abc89a65a7bde,683244.739090407191972549
0x29bab6487c428b7168cc68a8607cb709f25ee5fc,4969848.496689651417190258
0x29fed47572890b4561cc02ae3949e4f673a6f160,114097.947743783077928724
0x2bee316f0c5fd28c81a269e55e54f0fa5457b9ee,5036.600017731623301879
0x2d63b60b2512dff3e3681539cc56eb99e5c96d43,10375.056364674991696051
0x30194f526c6b08f8e33af1753b04322b0450c6c0,5413.384467781826806858
0x31881a03519c0fc57f4ba6766ca2bffe1f584ee3,15268993.896600071793417383
0x3336ded7a8d07e2622e27ca2364c427af4ff3911,149714.442817305432292612
0x3353554095389a03c35915e51fdcdddd68caf28c,3283.965765665099668856
0x33ebe25f22e93b4f0bf8d92f495fa45f41e210a4,326384.491151709163964379
0x3562e5fde573f795e7e1d34c8092b95926f093e8,77613.017908361329892827
0x37acc7eca484b68db007e08be9029e9a4792e90a,6538.928395855543628782
0x38b60a9b1e2d96befb2d8400d187276fe1ade9b4,1586.424489776086974869
0x3ba1140ad8269d25ad7777820abc84be2e4e8dd4,12569.352279415382300125
0x3d99da67d664882d77f65f206ba6799256110eaa,607.251720630810601017
0x3ec4938ab96f8cc28ea32e645ac82f86e77d265d,1037855.495399952455910731
0x3fa28980fc0b62cda392863ddf916d1c342a40ae,176209.609112997766485743
0x410e0762850d1653d8fe739b49e318d00666b1a2,3756.7803786750232
0x4525441f608e57f351efa148525031e14dde27d6,9513.533916601074047439
0x4865ce35c0e0a3ba725be849deba86ec02cd3cca,10230.817314925999853899
0x49846f40c9d6dc8062fbd0919e52c975e815156d,229194.810717157094268339
0x49bb9fd16af3b39ae3c08d75fd690bdae7e4f5ef,2551716.721994032180139111
0x4d4672eb04b176c22574b65a83278b8dc6708ed7,145539.181197647056114456
0x4e8bf2757ad44227fa01b0ee9d11df864b171f57,30989.208863439195200534
0x4ec1cae08c06494ee0130d4d538c1735252d4130,13548390.190849774375164646
0x4eeb0f5aad6349f3c587fba1176ba164b95ea8bf,509037.346663406709286712
0x54b8962b6f5028a57bc11cb68cad87aa8651c548,104371.323965477203011915
0x5589e5e0a3c9dec765c56f942ffe8d663dbfbd4b,3094.161699116350156532
0x585869bdd43497df24a8cec2e1d4e115869fe2a3,1269880.33775192869276805
0x5896bed3959d4508fee5cdaed6da41e8016d1ebe,750.650880916945392435
0x59734040d997a97cf329f28d7f289286ab444b27,1648232.632728192001601021
0x5c976f29f024a506e623db5bd9c26b6a0c9f2619,1393.032586026551068995
0x5da9ba5435f2f3bd8d25abce434caa370cfff2c0,4644.035806181754635275
0x5db0c41cac8a92ccdae933e7dc7b6266415fa17c,75409.707993323927710097
0x5edd60b9c610050c66bac1a2d0572bddf61d7198,46301.106569688975163559
0x60f7244c704184ed3743dffc694c0d922bcc2093,2378.284598915503696693
0x636f69a3279d93c95d13093680fc02b9a2fcf774,34030.416786075082331372
0x638f3811e402f5ce2f15b19a3f5cd4fbb65d0932,67720.763557382069902856
